Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
HACIL,Hayward Community,2478,12,0800,Combined Elementary/Secondary School,K4,12,Crystal  Hexum,Contact Person,15574 Hwy 77  Hayward WI  54843,"15930 W 5th St Hayward WI  54843  ",Hayward,54843,,"15930 W 5th St Hayward WI  54843  ",Hayward,57,Sawyer,715-934-2112,N/A,7159348080,hacil@hayward.k12.wi.us,www.hayward.k12.wi.us,Regular,Charter,Exclusively Virtual,5506270,03339,Public school
Hackett El,Beloit,0413,02,0120,Elementary School,K4,03,Ryan  McReynolds,Principal,625 Eighth St  Beloit WI  53511,"625 Eighth St Beloit WI  53511  ",Beloit,53511,,"625 Eighth St Beloit WI  53511  ",Beloit,53,Rock,608-361-2410,N/A,6083614122,rmcreynolds@sdb.k12.wi.us,www.sdb.k12.wi.us/hackett,Regular,No,Primarily Classroom (Supplemental Virtual),5501050,00142,Public school
Hadfield El,Waukesha,6174,01,0160,Elementary School,K4,05,Al  Busch,Principal,733 Linden St  Waukesha WI  53186-5161,"733 Linden St Waukesha WI  53186-5161  ",Waukesha,53186,5161,"733 Linden St Waukesha WI  53186-5161  ",Waukesha,67,Waukesha,262-970-1510,N/A,2629701520,abusch@waukesha.k12.wi.us,www.waukesha.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515780,02011,Public school
Haen El,Kaukauna Area,2758,06,0120,Elementary School,01,04,Holly  Magness,Principal,1130 Haen Dr  Kaukauna WI  54130-1012,"1130 Haen Dr Kaukauna WI  54130-1012  ",Kaukauna,54130,1012,"1130 Haen Dr Kaukauna WI  54130-1012  ",Kaukauna,44,Outagamie,920-766-6143,N/A,9207666138,magnessh@kaukaunasd.org,www.kaukauna.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507290,00797,Public school
Hales Corners El,Whitnall,6470,01,0040,Elementary School,PK,05,Lori  Komas,Principal,11319 W Godsell Ave  Hales Corners WI  53130-1899,"11319 W Godsell Ave Hales Corners WI  53130-1899  ",Hales Corners,53130,1899,"11319 W Godsell Ave Hales Corners WI  53130-1899  ",Hales Corners,40,Milwaukee,414-525-8802,N/A,4145258801,lkomas@whitnall.com,www.whitnall.com/hce,Regular,No,Primarily Classroom (Supplemental Virtual),5506000,00658,Public school
Halmstad El,Chippewa Falls Area Unified,1092,10,0110,Elementary School,KG,05,Wade  Pilloud,Principal,565 E South Ave  Chippewa Falls WI  54729-3402,"565 E South Ave Chippewa Falls WI  54729-3402  ",Chippewa Falls,54729,3402,"565 E South Ave Chippewa Falls WI  54729-3402  ",Chippewa Falls,09,Chippewa,715-726-2415,3502,7157203756,pillouwh@chipfalls.org,cfsd.chipfalls.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5502550,00284,Public school
Hamilton Early Learning Ctr,La Crosse,2849,04,0100,Elementary School,K4,05,Steven C Michaels,Principal,1111 7th St S  La Crosse WI  54601-5474,"1111 7th St S La Crosse WI  54601-5474  ",La Crosse,54601,5474,"1111 7th St S La Crosse WI  54601-5474  ",La Crosse,32,La Crosse,608-789-7695,N/A,6087897030,smichael@lacrossesd.org,www.lacrosseschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5507530,00858,Public school
Hamilton Hi,Hamilton,2420,01,0040,High School,09,12,Candis  Mongan,Principal,W220N6151 Town Line Rd  Sussex WI  53089,"W220N6151 Town Line Rd Sussex WI  53089  ",Sussex,53089,,"W220N6151 Town Line Rd Sussex WI  53089  ",Sussex,67,Waukesha,262-246-6471,1104,2622461885,mongca@hamilton.k12.wi.us,www.hamilton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506030,00664,Public school
Hamilton Hi,Milwaukee,3619,01,0018,High School,09,12,Rose  Martin,Principal,6215 W Warnimont Ave  Milwaukee WI  53220-1322,"6215 W Warnimont Ave Milwaukee WI  53220-1322  ",Milwaukee,53220,1322,"6215 W Warnimont Ave Milwaukee WI  53220-1322  ",Milwaukee,40,Milwaukee,414-327-9300,N/A,4143279315,018@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01180,Public school
Hamilton Mid,Madison Metropolitan,3269,02,0810,Middle School,06,08,Jessica  Taylor,Principal,4801 Waukesha St  Madison WI  53705-4899,"4801 Waukesha St Madison WI  53705-4899  ",Madison,53705,4899,"4801 Waukesha St Madison WI  53705-4899  ",Madison,13,Dane,608-204-4624,N/A,6082040417,jktaylor@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,00966,Public school
Hampton El,Milwaukee,3619,01,0205,Elementary School,K3,05,Bridget  Araujo,Principal,5000 N 53rd St  Milwaukee WI  53218-4333,"5000 N 53rd St Milwaukee WI  53218-4333  ",Milwaukee,53218,4333,"5000 N 53rd St Milwaukee WI  53218-4333  ",Milwaukee,40,Milwaukee,414-393-5400,N/A,4143935415,205@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01181,Public school
HAPA-Hmong Amer Peace Ac,Milwaukee,3619,01,0880,Combined Elementary/Secondary School,K4,12,Chris  Her-Xiong,Principal,4601 N 84th St  Milwaukee WI  53225-4958,"4601 N 84th St Milwaukee WI  53225-4958  ",Milwaukee,53225,4958,"4601 N 84th St Milwaukee WI  53225-4958  ",Milwaukee,40,Milwaukee,414-383-4944,N/A,4143834950,676@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600,02979,Public school
Harborside Acad,Kenosha,2793,01,0490,High School,06,12,William  Haithcock,Principal,913 57th St  Kenosha WI  53140,"913 57th St Kenosha WI  53140  ",Kenosha,53140,,"913 57th St Kenosha WI  53140  ",Kenosha,30,Kenosha,262-359-8400,N/A,2623598450,whaithco@kusd.edu,www.kusd.edu,Regular,Charter,Primarily Classroom (Supplemental Virtual),5507320,02754,Public school
Harmony El,Milton,3612,02,0160,Elementary School,K4,03,Sarah  Stuckey,Principal,4243 E Rotamer Rd  Janesville WI  53546,"4243 E Rotamer Rd Janesville WI  53546  ",Janesville,53546,,"4243 E Rotamer Rd Janesville WI  53546  ",Janesville,53,Rock,608-868-9360,7001,6088685664,stuckeys@milton.k12.wi.us,www.milton.k12.wi.us,Regular,No,No,5509570,02600,Public school
Harrison El,Janesville,2695,02,0110,Elementary School,PK,05,Jessica  Grandt-Turke,Building Coordinator,760 Princeton Rd  Janesville WI  53546-2000,"760 Princeton Rd Janesville WI  53546-2000  ",Janesville,53546,2000,"760 Princeton Rd Janesville WI  53546-2000  ",Janesville,53,Rock,608-743-6405,N/A,6087436437,jgrandt@janesville.k12.wi.us,www.janesville.k12.wi.us/har,Regular,No,Primarily Classroom (Supplemental Virtual),5507020,00761,Public school
Hartford Avenue El,Milwaukee,3619,01,0208,Elementary School,K3,08,Shannon  Kilsdonk,Principal,2227 E Hartford Ave  Milwaukee WI  53211-3101,"2227 E Hartford Ave Milwaukee WI  53211-3101  ",Milwaukee,53211,3101,"2227 E Hartford Ave Milwaukee WI  53211-3101  ",Milwaukee,40,Milwaukee,414-906-4700,N/A,4149064715,208@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01183,Public school
Hartford Hi,Hartford UHS,2436,06,0020,High School,09,12,Daniel  Dobner,Principal,805 Cedar St  Hartford WI  53027-2399,"805 Cedar St Hartford WI  53027-2399  ",Hartford,53027,2399,"805 Cedar St Hartford WI  53027-2399  ",Hartford,66,Washington,262-670-3200,N/A,2626738943,dan.dobner@huhs.org,www.huhs.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506120,00677,Public school
Hartland Fine Arts Ldrshp Acad,Hartland-Lakeside J3,2460,01,0130,Elementary School,KG,02,Heather  Grindatti,Principal,232 Church St  Hartland WI  53209,"232 Church St Hartland WI  53209  ",Hartland,53209,,"232 Church St Hartland WI  53209  ",Hartland,67,Waukesha,262-369-6710,N/A,2623696711,hgrindatti@hartlake.org,www.hartlake.org,Regular,No,No,5506140,02913,Public school
Hartland Sch of Community Lrn,Hartland-Lakeside J3,2460,01,0110,Elementary School,03,05,David  Risch,Principal,651 E Imperial Dr  Hartland WI  53029-2615,"651 E Imperial Dr Hartland WI  53029-2615  ",Hartland,53029,2615,"651 E Imperial Dr Hartland WI  53029-2615  ",Hartland,67,Waukesha,262-369-6720,N/A,2623696722,dkrisch@hartlake.org,www.hartlake.org,Regular,No,No,5506140,02845,Public school
Harvey El,Kenosha,2793,01,0240,Elementary School,K4,05,Ursula  Hamilton-Perry,Principal,2012 19th Ave  Kenosha WI  53140-4722,"2012 19th Ave Kenosha WI  53140-4722  ",Kenosha,53140,4722,"2012 19th Ave Kenosha WI  53140-4722  ",Kenosha,30,Kenosha,262-359-4040,N/A,2623594020,uperry@kusd.edu,www.kusd.edu,Regular,No,Primarily Classroom (Supplemental Virtual),5507320,00810,Public school
Hatley El,D C Everest Area,4970,09,0060,Elementary School,PK,05,Lisa  Braun,Principal,417 Emmonsville Rd  Hatley WI  54440-9769,"417 Emmonsville Rd Hatley WI  54440-9769  ",Hatley,54440,9769,"417 Emmonsville Rd Hatley WI  54440-9769  ",Hatley,37,Marathon,715-446-3336,5722,7154463171,lbraun@dce.k12.wi.us,www.dce.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513170,01738,Public school
Haugen El,Rice Lake Area,4802,11,0060,Elementary School,K4,04,Natalie  Springer,Principal,615 5th St W  Haugen WI  54841,"615 5th St W Haugen WI  54841  ",Haugen,54841,,"615 5th St W Haugen WI  54841  ",Haugen,03,Barron,715-234-7341,5340,7152367598,springern@ricelake.k12.wi.us,www.ricelake.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5512810,01693,Public school
Hawley Environmental Sch,Milwaukee,3619,01,0211,Elementary School,K3,05,Richard  Bukosky,Principal,5610 W Wisconsin Ave  Milwaukee WI  53213-4258,"5610 W Wisconsin Ave Milwaukee WI  53213-4258  ",Milwaukee,53213,4258,"5610 W Wisconsin Ave Milwaukee WI  53213-4258  ",Milwaukee,40,Milwaukee,414-256-8500,N/A,4142568515,211@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01184,Public school
Hawthorn Hills El,Wausau,6223,09,0110,Elementary School,K4,05,Angela  Lloyd,Principal,1600 Kickbusch St  Wausau WI  54403-1600,"1600 Kickbusch St Wausau WI  54403-1600  ",Wausau,54403,1600,"650 S 7th Ave Wausau WI  54401-5310  ",Wausau,37,Marathon,715-261-0045,N/A,7152612291,alloyd@wausauschools.org,www.wausauschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5515900,02365,Public school
Hawthorne El,Madison Metropolitan,3269,02,0048,Elementary School,K4,05,Beth  Lehman,Principal,3344 Concord Ave  Madison WI  53714-1134,"3344 Concord Ave Madison WI  53714-1134  ",Madison,53714,1134,"3344 Concord Ave Madison WI  53714-1134  ",Madison,13,Dane,608-204-2502,N/A,6082040423,balehman@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,02410,Public school
Hawthorne El,Milwaukee,3619,01,0212,Elementary School,K3,05,Shantee  Williams,Principal,6945 N 41st St  Milwaukee WI  53209-2204,"6945 N 41st St Milwaukee WI  53209-2204  ",Milwaukee,53209,2204,"6945 N 41st St Milwaukee WI  53209-2204  ",Milwaukee,40,Milwaukee,414-247-7200,N/A,4142477215,212@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01185,Public school
Hawthorne El,Waukesha,6174,01,0180,Elementary School,K4,05,Duy  Nguyen,Principal,1111 Maitland Dr  Waukesha WI  53188-2399,"1111 Maitland Dr Waukesha WI  53188-2399  ",Waukesha,53188,2399,"1111 Maitland Dr Waukesha WI  53188-2399  ",Waukesha,67,Waukesha,262-970-1610,N/A,2629701620,dnguyen@waukesha.k12.wi.us,www.waukesha.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515780,02012,Public school
Hayes Bilingual Sch,Milwaukee,3619,01,0214,Elementary School,K3,08,Yolanda  Hernandez-Garcia,Principal,971 W Windlake Ave  Milwaukee WI  53204-3822,"971 W Windlake Ave Milwaukee WI  53204-3822  ",Milwaukee,53204,3822,"971 W Windlake Ave Milwaukee WI  53204-3822  ",Milwaukee,40,Milwaukee,414-902-9600,N/A,4149029615,214@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,00680,Public school
Hayward 4 Learning,Hayward Community,2478,12,0130,Elementary School,K4,PK,Ronda  Lee,Coordinator,15930 W 5th St  Hayward WI  54843,"15930 W 5th St Hayward WI  54843  ",Hayward,54843,,"15930 W 5th St Hayward WI  54843  ",Hayward,57,Sawyer,715-634-2619,9300,7156343560,rlee@hayward.k12.wi.us,www.hayward.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506270,02794,Public school
Hayward Hi,Hayward Community,2478,12,0040,High School,09,12,Daniel  Vander Velden,Principal,10320 N Greenwood Ln  Hayward WI  54843-7167,"15930 W 5th St Hayward WI  54843  ",Hayward,54843,,"10320 N Greenwood Ln Hayward WI  54843-7167  ",Hayward,57,Sawyer,715-634-2619,9500,7156342761,tjohnson@hayward.k12.wi.us,www.hayward.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506270,00690,Public school
Hayward Intermediate,Hayward Community,2478,12,0110,Elementary School,03,05,Ronda  Lee,Principal,15930 W 5th St  Hayward WI  54843,"15930 W 5th St Hayward WI  54843  ",Hayward,54843,,"15930 W 5th St Hayward WI  54843  ",Hayward,57,Sawyer,715-634-2619,9301,7159342244,rlee@hayward.k12.wi.us,www.hayward.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506270,02417,Public school
Hayward Mid,Hayward Community,2478,12,0060,Middle School,06,08,Hugh  Duffy,Principal,10408 N Greenwood Ln  Hayward WI  54843-6101,"15930 W 5th St Hayward WI  54843  ",Hayward,54843,,"15930 W 5th St Hayward WI  54843  ",Hayward,57,Sawyer,715-634-2619,9400,7156349953,hduffy@hayward.k12.wi.us,www.hayward.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506270,00691,Public school
Hayward Pri,Hayward Community,2478,12,0020,Elementary School,PK,02,Ronda  Lee,Principal,10665 N Main St  Hayward WI  54843,"15930 W 5th St Hayward WI  54843  ",Hayward,54843,,"15930 W 5th St Hayward WI  54843  ",Hayward,57,Sawyer,715-634-2619,9301,7159342246,rlee@hayward.k12.wi.us,www.hayward.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506270,00689,Public school
Head Start,Rice Lake Area,4802,11,0150,Elementary School,K4,K4,Barbara  Sparish,Director of Instruction and Learning,205 E Orchard Beach Ln  Rice Lake WI  54868-2844,"205 E Orchard Beach Ln Rice Lake WI  54868-2844  ",Rice Lake,54868,2844,"205 E Orchard Beach Ln Rice Lake WI  54868-2844  ",Rice Lake,03,Barron,715-234-9007,5001,7157367130,sparishb@ricelake.k12.wi.us,,Regular,No,Primarily Classroom (Supplemental Virtual),5512810,02528,Public school
Hemlock Creek El,West De Pere,6328,07,0150,Elementary School,K4,05,Kathleen  Held,Principal,1900 Williams Grant Dr  De Pere WI  54115-9574,"1900 Williams Grant Dr De Pere WI  54115-9574  ",De Pere,54115,9574,"1900 Williams Grant Dr De Pere WI  54115-9574  ",De Pere,05,Brown,920-425-1900,3326,9204251914,kheld@wdpsd.com,www.wdpsd.com/hemlockcreek,Regular,No,Primarily Classroom (Supplemental Virtual),5516320,02726,Public school
Heritage El,De Pere,1414,07,0050,Elementary School,K4,04,Kathleen  Van Pay,Principal,1250 Swan Rd  De Pere WI  54115,"1250 Swan Rd De Pere WI  54115  ",De Pere,54115,,"1250 Swan Rd De Pere WI  54115  ",De Pere,05,Brown,920-337-1035,5002,9204037381,kvanpay@depere.k12.wi.us,www.depere.k12.wi.us/heritage,Regular,No,Primarily Classroom (Supplemental Virtual),5503210,01254,Public school
Hewitt-Texas El,Wausau,6223,09,0120,Elementary School,KG,05,Philip  Beck,Principal,T10331 Quarry Rd  Wausau WI  54403-8701,"T10331 Quarry Rd Wausau WI  54403-8701  ",Wausau,54403,8701,"650 S 7th Ave Wausau WI  54401-5310  ",Wausau,37,Marathon,715-261-0015,N/A,7152612305,pbeck@wausauschools.org,www.wausauschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5515900,02051,Public school
Heyer El,Waukesha,6174,01,0190,Elementary School,K4,05,Mark  Schneider,Principal,1209 Heyer Dr  Waukesha WI  53186-6899,"1209 Heyer Dr Waukesha WI  53186-6899  ",Waukesha,53186,6899,"1209 Heyer Dr Waukesha WI  53186-6899  ",Waukesha,67,Waukesha,262-970-1710,N/A,2629701720,mschneider@waukesha.k12.wi.us,www.waukesha.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515780,02013,Public school
High Marq Environmental Chrtr,Montello,3689,05,0420,High School,07,12,Kelly  Skifstad,Principal Grades 6-12,222 Forest Ln  Montello WI  53949-9390,"222 Forest Ln Montello WI  53949-9390  ",Montello,53949,9390,"222 Forest Ln Montello WI  53949-9390  ",Montello,39,Marquette,608-297-2126,455,6082977726,kskifstad@montelloschools.org,www.montelloschools.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509870,02821,Public school
High Sch of Health Sciences,Kettle Moraine,1376,01,0470,High School,09,12,Stephen  Plum,Director,349 N Oak Crest Dr  Wales WI  53183-9711,"349 N Oak Crest Dr Wales WI  53183-9711  ",Wales,53183,9711,"349 N Oak Crest Dr Wales WI  53183-9711  ",Wales,67,Waukesha,262-968-6200,4608,2629686217,plums@kmsd.edu,https://www.kmsd.edu/hs2,Regular,Charter,Primarily Classroom (Supplemental Virtual),5503510,02988,Public school
Highland Community El,Highland,2527,03,0020,Elementary School,K4,05,Joshua  Tarrell,Principal,1030 Cardinal Dr  Highland WI  53543,"1030 Cardinal Dr Highland WI  53543  ",Highland,53543,,"1030 Cardinal Dr Highland WI  53543  ",Highland,25,Iowa,608-929-4525,411,6089294527,jtarrell@highland.k12.wi.us,www.highland.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5506420,00698,Public school
Highland Community Hi,Highland,2527,03,0040,High School,09,12,Joshua  Tarrell,Principal,1030 Cardinal Dr  Highland WI  53543,"1030 Cardinal Dr Highland WI  53543  ",Highland,53543,,"1030 Cardinal Dr Highland WI  53543  ",Highland,25,Iowa,608-929-4525,411,6089294527,jtarrell@highland.k12.wi.us,www.highland.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5506420,00699,Public school
Highland Community Mid,Highland,2527,03,0250,Middle School,06,08,Joshua  Tarrell,School Administrator,1030 Cardinal Dr  Highland WI  53543,"1030 Cardinal Dr Highland WI  53543  ",Highland,53543,,"1030 Cardinal Dr Highland WI  53543  ",Highland,25,Iowa,608-929-4525,411,6089294527,jtarrell@highland.k12.wi.us,www.highland.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5506420,02829,Public school
Highland Community Sch,Milwaukee,3619,01,0852,Elementary School,K3,08,Mark  Joerres,Contact Person,1706 W Highland Ave  Milwaukee WI  53233-1198,"1706 W Highland Ave Milwaukee WI  53233-1198  ",Milwaukee,53233,1198,"1706 W Highland Ave Milwaukee WI  53233-1198  ",Milwaukee,40,Milwaukee,414-342-1412,N/A,4143421408,428@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5509600,01847,Public school
Highland View El,Greendale,2296,01,0100,Elementary School,PK,05,Tracy M Flater,Principal,5900 S 51st St  Greendale WI  53129-2699,"5900 S 51st St Greendale WI  53129-2699  ",Greendale,53129,2699,"5900 S 51st St Greendale WI  53129-2699  ",Greendale,40,Milwaukee,414-423-2750,N/A,4144230592,tracy.flater@greendale.k12.wi.us,www.greendale.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505910,02256,Public school
Highlands El,Appleton Area,0147,06,0180,Elementary School,PK,06,Kristin  Comerford,Principal,2037 N Elinor St  Appleton WI  54914-2299,"2037 N Elinor St Appleton WI  54914-2299  ",Appleton,54914,2299,"2037 N Elinor St Appleton WI  54914-2299  ",Appleton,44,Outagamie,920-832-6250,N/A,9208324389,comerfordkrist@aasd.k12.wi.us,www.aasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500390,00055,Public school
Hilbert El,Hilbert,2534,07,0020,Elementary School,K4,04,Amy  Schmitz,Principal,1139 W Milwaukee St  Hilbert WI  54129-0390,"PO Box 390 Hilbert WI  54129-0390  ",Hilbert,54129,0390,"1139 W Milwaukee St Hilbert WI  54129-0390  ",Hilbert,08,Calumet,920-853-3558,N/A,9208537030,schmitza@hilbertk12.org,www.hilbert.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506450,00700,Public school
Hilbert Hi,Hilbert,2534,07,0040,High School,09,12,Anthony  Sweere,Principal,1139 W Milwaukee St  Hilbert WI  54129,"PO Box 390 Hilbert WI  54129-0390  ",Hilbert,54129,0390,"1139 W Milwaukee St Hilbert WI  54129  ",Hilbert,08,Calumet,920-853-3558,N/A,9208537030,sweeret@hilbertk12.org,www.hilbert.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506450,00701,Public school
